Column,Missing_Count,Missing_Percentage,Unique_Count,Data_Type
title,0,0.0,6598,str
enrolled,1753,26.40060240963855,4615,str
rating,1431,21.55120481927711,21,str
num_reviews,1387,20.88855421686747,1860,float64
Instructor,11,0.16566265060240964,2535,str
Organization,10,0.15060240963855423,297,str
Skills,1951,29.382530120481924,4475,str
Description,10,0.15060240963855423,6626,str
Modules/Courses,10,0.15060240963855423,43,str
Level,778,11.716867469879517,3,str
Schedule,1888,28.433734939759038,130,str
URL,0,0.0,6640,str
Satisfaction Rate,4442,66.89759036144578,29,str
enrolled_num,1753,26.40060240963855,4615,float64
rating_num,1431,21.55120481927711,21,float64
satisfaction_rate_num,4442,66.89759036144578,29,float64
Subject,4988,75.12048192771084,3,str
duration_sup1,4988,75.12048192771084,3,str
gained_skills_sup1,4988,75.12048192771084,1652,str
Difficulty,6404,96.44578313253011,4,str
Type,6404,96.44578313253011,2,str
course_url,6500,97.89156626506023,140,str
duration_sup2,6404,96.44578313253011,3,str
Country,10,0.15060240963855423,34,str
hours_to_complete,2875,43.29819277108434,77,float64
duration_weeks,3184,47.95180722891566,1,float64
level_clean,0,0.0,4,str
review_to_enrollment_ratio,1861,28.027108433734938,4756,float64
enrolled_percentile,1753,26.40060240963855,4615,float64
rating_normalized,1431,21.55120481927711,21,float64
popularity_score,1862,28.042168674698797,4739,float64
skills_combined,1951,29.382530120481924,4475,str
courses_per_organization,10,0.15060240963855423,66,float64
courses_per_country,10,0.15060240963855423,28,float64
internet_usage_pct,10,0.15060240963855423,33,float64
internet_usage_year,10,0.15060240963855423,3,float64
