,count,mean,std,min,25%,50%,75%,max
num_reviews,5253.0,1631.3005901389681,8235.71009964911,1.0,45.0,199.0,853.0,229371.0
enrolled_num,4887.0,59507.184162062615,178909.96669773755,1500.0,5504.0,16339.0,48687.5,4780567.0
rating_num,5209.0,4.624131311192167,0.25431630816244954,3.0,4.6,4.7,4.8,5.0
satisfaction_rate_num,2198.0,95.51910828025478,3.4909791709845823,62.0,94.0,97.0,98.0,100.0
hours_to_complete,3765.0,12.420982735723772,10.383708300869424,1.0,6.0,10.0,16.0,134.0
duration_weeks,3456.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0
review_to_enrollment_ratio,4779.0,0.019422618569919062,0.01552722259565215,0.0008374624886593,0.00921909152058655,0.0149603989439718,0.0244475352948212,0.1521996922906485
enrolled_percentile,4887.0,0.5001023122570084,0.2887046658475657,0.0002046245140167,0.2501534683855126,0.5001023122570084,0.7500511561285041,1.0
rating_normalized,5209.0,0.9248262622384334,0.05086326163248988,0.6,0.92,0.94,0.96,1.0
popularity_score,4778.0,0.7172630957333519,0.1482258867197939,0.3186208307755269,0.592219664415797,0.7176601186822181,0.842097401268672,0.99
courses_per_organization,6630.0,102.88536953242836,96.54946190520089,1.0,29.0,68.0,151.0,353.0
courses_per_country,6630.0,3453.1122171945703,2033.6711549924003,1.0,455.0,4737.0,4737.0,4737.0
internet_usage_pct,6630.0,92.90437277526395,13.302107415181808,43.4054,97.1299,97.1299,97.1299,100.0
internet_usage_year,6630.0,2021.9781297134239,0.6049313125985502,2020.0,2022.0,2022.0,2022.0,2023.0
